Date,Scrip,Name Moving Averages,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action,Value,Time,Action
13-10-2023,METROPOLIS,Simple Moving Average (30),1558.03,1 Min,Sell,1552.85,5 Min,Buy,1547.5,15 Min,Buy,1516.76,30 Min,Buy,1500.09,1 Hour,Buy,1481.63,2 Hour,Buy,1461.37,4 Hour,Buy,1440.76,1 Day,Buy,1355.9,1 Week,Buy,1938.18,1 Month,Sell
13-10-2023,METROPOLIS,Exponential Moving Average (50),1556.63,1 Min,Sell,1553.26,5 Min,Sell,1530.51,15 Min,Buy,1511.72,30 Min,Buy,1493.61,1 Hour,Buy,1477.29,2 Hour,Buy,1453.3,4 Hour,Buy,1427.16,1 Day,Buy,1443.88,1 Week,Buy,1742.16,1 Month,Sell
13-10-2023,METROPOLIS,Simple Moving Average (50),1556.59,1 Min,Sell,1557.91,5 Min,Sell,1524.21,15 Min,Buy,1500.16,30 Min,Buy,1483.26,1 Hour,Buy,1468.21,2 Hour,Buy,1454.57,4 Hour,Buy,1408.47,1 Day,Buy,1362.03,1 Week,Buy,1850.74,1 Month,Sell
13-10-2023,METROPOLIS,Exponential Moving Average (100),1555.79,1 Min,Sell,1541.41,5 Min,Buy,1509.85,15 Min,Buy,1491.03,30 Min,Buy,1472.68,1 Hour,Buy,1453.71,2 Hour,Buy,1427.9,4 Hour,Buy,1400.69,1 Day,Buy,1595.9,1 Week,Sell,—,1 Month,—
13-10-2023,METROPOLIS,Simple Moving Average (100),1555.59,1 Min,Sell,1542.49,5 Min,Buy,1499.71,15 Min,Buy,1480.03,30 Min,Buy,1462.55,1 Hour,Buy,1454.66,2 Hour,Buy,1408.99,4 Hour,Buy,1395.14,1 Day,Buy,1713.3,1 Week,Sell,—,1 Month,—
13-10-2023,METROPOLIS,Exponential Moving Average (200),1554.52,1 Min,Sell,1521.85,5 Min,Buy,1489.44,15 Min,Buy,1469.78,30 Min,Buy,1449.64,1 Hour,Buy,1427.48,2 Hour,Buy,1402.63,4 Hour,Buy,1419.33,1 Day,Buy,1701.91,1 Week,Sell,—,1 Month,—
13-10-2023,METROPOLIS,Simple Moving Average (200),1555.49,1 Min,Sell,1508.11,5 Min,Buy,1478.98,15 Min,Buy,1459.63,30 Min,Buy,1446.15,1 Hour,Buy,1408.92,2 Hour,Buy,1396.07,4 Hour,Buy,1345.55,1 Day,Buy,1883.65,1 Week,Sell,—,1 Month,—
13-10-2023,METROPOLIS,"Ichimoku Base Line (9, 26, 52, 26)",1557,1 Min,Neutral,1552.18,5 Min,Sell,1538.05,15 Min,Neutral,1521.3,30 Min,Neutral,1517.5,1 Hour,Neutral,1499.03,2 Hour,Neutral,1490.95,4 Hour,Neutral,1483.4,1 Day,Neutral,1395.63,1 Week,Neutral,2375.62,1 Month,Neutral
13-10-2023,METROPOLIS,Volume Weighted Moving Average (20),1558.58,1 Min,Sell,1557.38,5 Min,Sell,1559.49,15 Min,Sell,1553.42,30 Min,Sell,1544.43,1 Hour,Buy,1530.86,2 Hour,Buy,1508.92,4 Hour,Buy,1488.67,1 Day,Buy,1421.22,1 Week,Buy,1513.6,1 Month,Buy
13-10-2023,METROPOLIS,Hull Moving Average (9),1550.17,1 Min,Buy,1558.5,5 Min,Sell,1558.23,15 Min,Sell,1552.64,30 Min,Buy,1558.51,1 Hour,Sell,1575.32,2 Hour,Sell,1544.75,4 Hour,Buy,1512.86,1 Day,Buy,1511.26,1 Week,Buy,1478.58,1 Month,Buy
13-10-2023,INDUSINDBK,Exponential Moving Average (10),1462.75,1 Min,Sell,1461.7,5 Min,Sell,1457.84,15 Min,Buy,1454.28,30 Min,Buy,1448.13,1 Hour,Buy,1442.98,2 Hour,Buy,1434.18,4 Hour,Buy,1431.14,1 Day,Buy,1425.91,1 Week,Buy,1313.82,1 Month,Buy
13-10-2023,INDUSINDBK,Simple Moving Average (10),1463.49,1 Min,Sell,1462.2,5 Min,Sell,1457.53,15 Min,Buy,1455.55,30 Min,Buy,1444.53,1 Hour,Buy,1438.44,2 Hour,Buy,1430.33,4 Hour,Buy,1426.05,1 Day,Buy,1426.57,1 Week,Buy,1273.11,1 Month,Buy
13-10-2023,INDUSINDBK,Exponential Moving Average (20),1463.04,1 Min,Sell,1459.88,5 Min,Sell,1452.91,15 Min,Buy,1446.92,30 Min,Buy,1439.5,1 Hour,Buy,1434.66,2 Hour,Buy,1429.5,4 Hour,Buy,1428.77,1 Day,Buy,1378.75,1 Week,Buy,1211.27,1 Month,Buy
13-10-2023,INDUSINDBK,Simple Moving Average (20),1463.4,1 Min,Sell,1459.67,5 Min,Sell,1453.84,15 Min,Buy,1443.62,30 Min,Buy,1434.55,1 Hour,Buy,1430.99,2 Hour,Buy,1424.35,4 Hour,Buy,1432.28,1 Day,Buy,1391.77,1 Week,Buy,1161.85,1 Month,Buy
13-10-2023,INDUSINDBK,Exponential Moving Average (30),1462.84,1 Min,Sell,1457.99,5 Min,Buy,1448.8,15 Min,Buy,1442.06,30 Min,Buy,1434.92,1 Hour,Buy,1431.34,2 Hour,Buy,1428.41,4 Hour,Buy,1425.37,1 Day,Buy,1335.54,1 Week,Buy,1163.74,1 Month,Buy
